punto;lat;long;planta;fruto;fecha_colecta;fecha _caracterización;peso_g;largo_mm;diam_mm;largo_apice_diam;punta;color;sanidad;forma_caro;pedunculo;arrugas;x1;x2;x3;x_media;y1;y2;y3;y_media;z1;z2;z3;z_media;a1;a2;a3;b1;b2;b3;l1;l2;l3;a_media;b_media;l_media;chro1;chro2;chro3;chroma_media;hue1;hue2;hue3;hue_media;esp_per;brix;ph;huesos;n_ huesos;color_semilla;n_loc
722;;;1;3;21/7/2023;25/7/2023;44,7565;67,58;36,96;38,17;3;6;Buena;4;si;si;11,48;11,68;10,57;11,24;7,82;8,00;7,61;7,81;5,41;5,55;5,76;5,57;31,27;31,16;26,24;13,12;13,21;11,01;16,44;16,81;16;29,56;12,45;16,42;33,92;33,84;28,46;32,07;22,77;22,98;22,75;22,83;4,78;10;3,93;si;5;2;2
722;;;1;1;21/7/2023;25/7/2023;51,1035;69,94;39,33;40,6;5;6;Muy Buena;8;si;no;11,89;12,4;11,73;12,01;8,29;8,57;8,20;8,35;6,07;6,13;6,15;6,12;30,16;31,45;29,77;12,24;12,99;11,63;17,4;17,96;17,22;30,46;12,29;17,52;32,55;34,02;31,96;32,85;22,1;22,44;21,34;21,96;5,4;10,9;3,49;si;6;2;2
722;;;1;2;21/7/2023;25/7/2023;29,8132;63,54;31,28;35,85;2;6;Buena;4;si;no;12,25;13,72;11,87;12,61;8,13;9,14;7,95;8,41;5,59;5,92;5,50;5,67;34,17;35,88;33;13,52;15,69;13,23;17,08;19,07;16,71;34,35;14,15;17,62;36,75;39,16;35,55;37,16;21,58;23,62;21,85;22,35;4,23;10,2;3,75;si;6;2;2
722;;;1;4;21/7/2023;25/7/2023;36,4916;63,4;35,05;35,25;5;6;Buena;4;si;no;11,59;13,39;14,67;13,22;7,92;9,03;10,19;9,05;5,44;5,84;5,58;5,62;31,20;34,53;33,8;13,36;15,63;20,37;16,65;18,86;21,03;33,18;16,45;18,84;33,94;37,9;39,47;37,1;23,18;24,35;31,08;26,2;5,15;10,1;3,86;;;2;2
725;;;2;4;21/7/2023;25/7/2023;35,8839;60,42;35,19;39,01;4;6;Regular;5;si;no;13,3;14,43;10,55;12,76;9,03;9,63;7,71;8,79;6,40;6,32;5,99;6,24;33,91;36,66;25,18;13,54;15,8;10,49;18,86;20;16,21;31,92;13,28;18,35;36,51;39,92;27,28;34,57;21,77;23,31;22,62;22,57;4,99;10;3,36;no;0;2;2
725;;;2;1;21/7/2023;25/7/2023;37,591;63,82;34,23;34,19;2;6;Buena;4;si;no;17,06;17,67;14,82;16,52;11,64;11,90;9,92;11,15;7,13;6,98;6,76;6,96;37,99;39,79;36,92;19,1;20,37;15,14;23,58;24,02;20,54;38,23;18,2;22,71;42,52;44,7;39,9;42,37;26,69;27,11;22,3;25,37;5,94;10;3,17;si;3;2;2
725;;;2;3;21/7/2023;25/7/2023;33,0204;60,02;34,34;35,96;5;6;Regular;4;si;no;13,06;14,69;13,79;13,85;8,72;9,81;9,07;9,20;5,90;6,13;6,00;6,01;34,84;36,94;36,94;14,36;17,08;15,16;18,25;20,33;18,94;36,24;15,53;19,17;37,68;40,7;39,93;39,44;22,4;24,81;22,31;23,17;6,24;8,8;3,49;si;4;2;2
725;;;2;2;21/7/2023;25/7/2023;33,8093;60,16;34,36;38,61;1;6;Regular;4;si;no;14,78;14,36;13,43;14,19;9,84;9,66;9,05;9,52;5,89;5,89;5,81;5,86;37,29;35,95;34,64;18,07;17,5;15,81;20,39;20,05;18,9;35,96;17,13;19,78;41,44;39,99;38,08;39,84;25,86;25,95;24,53;25,45;6,07;8,6;3,86;si;4;2;2
725;;;2;5;21/7/2023;25/7/2023;27,523;55,02;31,78;35,93;2;6;Buena;4;si;no;10,55;15,33;12,41;12,76;7,71;10,90;8,33;8,98;5,99;6,51;5,37;5,96;25,18;32,64;33,58;10,49;19,08;15,08;16,21;22,3;17,48;30,47;14,88;18,66;27,28;37,8;36,81;33,97;22,62;30,3;24,18;25,7;7,09;8,4;3,52;si;4;2;2
726;;;3;2;21/7/2023;25/7/2023;34,8262;64,43;32,79;38,06;2;5;Buena;4;si;no;14,36;13,44;13,57;13,79;10,02;9,10;9,23;9,45;6,50;6,37;6,32;6,40;33,09;34,3;34,11;16,39;13,89;14,5;20,72;18,99;19,24;33,83;14,92;19,65;36,92;37;37,07;37;26,35;22,04;23,02;23,81;4,92;11;3,38;si;5;2;2
726;;;3;4;21/7/2023;25/7/2023;29,8244;65,63;32,05;37,12;4;6;Buena;5;si;no;10,97;12,82;12,75;12,18;7,48;8,62;8,62;8,24;5,95;6,10;5,86;5,97;30,50;34,01;33,51;9,81;13,27;14,17;15,73;18,06;18,06;32,67;12,42;17,28;32,04;36,5;36,39;34,98;17,83;21,31;22,92;20,69;4,88;11,4;3,48;si;6;2;2
726;;;3;1;21/7/2023;25/7/2023;31,4999;63,67;32,33;38,99;5;6;Regular;4;si;si;13,34;14,61;14,38;14,11;9,08;9,93;9,78;9,60;5,81;5,85;6,04;5,90;33,77;35,46;35,13;15,91;18,51;17,32;18,95;20,55;20,28;34,78;17,25;19,93;37,33;40;39,16;38,83;25,22;27,57;26,24;26,35;4,92;11,4;3,64;si;6;2;2
726;;;3;3;21/7/2023;25/7/2023;28,6963;64,34;31,57;32,56;2;5;Muy Buena;5;si;no;14,6;12,4;10,15;12,38;10,05;8,38;7,33;8,59;6,61;6,35;5,97;6,31;34,44;33,08;25,51;16,09;11,52;9,18;20,77;17,58;15,41;31,01;12,27;17,92;38,01;35,03;27,11;33,38;25,04;19,21;19,8;21,35;4,51;10;3,48;si;7;2;2
726;;;4;3;21/7/2023;25/7/2023;38,8504;72,69;34,24;45,24;1;5;Buena;4;si;no;14,75;15,01;15,02;14,93;9,90;9,98;10,08;9,99;5,91;5,94;6,12;5,99;36,62;37,68;36,96;18,19;18,33;17,97;20,5;20,65;20,83;37,09;18,16;20,66;40,89;41,91;41,1;41,3;26,42;25,94;25,93;26,1;5;10,4;3,58;si;3;2;2
726;;;4;6;21/7/2023;25/7/2023;46,8203;75,55;36,54;44,94;2;5;Buena;4;si;no;14,58;11,63;15,35;13,85;9,93;8,16;10,62;9,57;6,55;6,33;6,67;6,52;35,26;29,38;34,9;15,93;10,83;17,65;20,55;17,14;21,8;33,18;14,8;19,83;38,69;31,31;39,11;36,37;24,31;20,24;26,82;23,79;5,59;12,2;3,41;si;4;2;2
726;;;4;5;21/7/2023;25/7/2023;24,3821;61,08;29,64;36,03;1;5;Regular;4;si;no;13,6;13,22;13,73;13,52;9,13;8,84;8,94;8,97;5,60;5,61;5,73;5,65;35,15;34,94;37,61;16,88;15,88;15,75;19,05;18,49;18,68;35,9;16,17;18,74;38,99;38,38;40,78;39,38;25,66;24,43;22,72;24,27;5,29;10,2;3,75;si;4;2;2
726;;;4;4;21/7/2023;25/7/2023;39,3654;71,38;34,47;45,48;4;6;Buena;4;si;no;11,27;10,73;9,94;10,65;8,28;7,95;7,63;7,95;5,82;5,75;5,88;5,82;25,65;24,43;21,09;13,15;12,26;10,62;17,38;16,71;16,04;23,73;12,01;16,71;28,82;27,34;23,62;26,59;27,15;26,65;26,72;26,84;6,03;13,2;3,34;si;4;2;2
726;;;4;1;21/7/2023;25/7/2023;51,3338;72,15;38,03;44,38;3;6;Muy Buena;4;si;no;14,98;12,08;12,87;13,31;10,15;8,38;8,90;9,14;6,11;6,04;6,08;6,08;36,15;30,77;31,99;18,23;12,67;14,29;20,96;17,58;18,61;32,97;15,06;19,05;40,49;33,27;35,04;36,27;26,76;22,38;24,07;24,4;5,18;10,9;3,66;si;5;2;2
726;;;4;2;21/7/2023;25/7/2023;38,1482;66,81;34,53;43,27;2;6;Muy Buena;4;si;no;13,08;13,28;13,23;13,20;8,73;9,01;8,95;8,90;6,11;6,13;6,13;6,12;34,90;33,94;34,09;13,6;14,47;14,27;18,27;18,82;18,7;34,31;14,11;18,6;37,46;36,89;36,96;37,1;21,3;23,09;22,71;22,37;4,32;11,4;3,5;si;6;2;2
727;;;5;2;21/7/2023;25/7/2023;33,8211;64,69;34,17;36,01;4;5;Buena;5;si;si;13,11;12,29;14,56;13,32;8,86;8,33;9,81;9,00;6,15;6,08;6,21;6,15;34,01;32,72;36,08;13,89;12,35;16,78;18,53;17,48;20,33;34,27;14,34;18,78;36,74;34,97;39,79;37,17;22,22;20,67;24,94;22,61;6,02;10,4;3,47;si;4;2;2
727;;;5;1;21/7/2023;25/7/2023;19,5292;51,32;29,52;31,9;4;5;Buena;4;si;no;16,93;11,96;12,02;13,64;11,97;8,20;8,43;9,53;7,42;6,22;6,45;6,70;34,79;31,46;29,9;19,07;11,37;11,33;24,13;17,22;17,68;32,05;13,92;19,68;39,67;33,45;31,98;35,03;28,73;19,88;20,75;23,12;5,04;8,5;3,44;si;4;2;2
727;;;5;5;21/7/2023;25/7/2023;31,7568;62,28;33,63;37,8;2;5;Buena;4;si;si;13,17;13,26;12,15;12,86;9,19;9,18;8,38;8,92;6,14;5,92;5,57;5,88;31,68;32,39;31,28;15,03;15,82;14,46;19,17;19,15;17,58;31,78;15,1;18,63;35,07;36,05;34,46;35,19;25,38;26,03;24,82;25,41;4,96;10;3,62;si;4;2;2
727;;;5;3;21/7/2023;25/7/2023;34,3375;64,85;35,39;38,83;4;5;Buena;4;si;no;16,78;17,8;23,49;19,36;11,96;12,66;18,39;14,34;7,23;7,61;9,62;8,15;33,94;35,14;30,32;19,68;20,4;28,69;24,12;25,27;33,74;33,14;22,92;27,71;39,23;40,63;41,74;40,54;30,11;30,13;43,41;34,55;5,25;9,3;3,11;si;4;2;2
727;;;5;4;21/7/2023;25/7/2023;26,2549;61,49;32,21;38,13;4;5;Buena;5;si;no;14,93;13,57;11,63;13,38;10,41;9,59;8,00;9,33;6,69;6,56;6,08;6,44;33,80;31,18;30,79;16,93;14,8;11,19;21,43;19,92;16,81;31,92;14,31;19,39;37,8;34,52;32,76;35,02;26,61;25,39;19,98;23,99;4,76;9,3;3,18;si;5;2;2
buscar;;;6;4;21/7/2023;25/7/2023;40,4898;67,98;35,18;35,52;4;6;Muy Buena;8;si;no;13,97;12,47;13,73;13,39;9,35;8,36;9,21;8,97;6,05;6,42;6,38;6,28;35,85;33,75;35,37;15,89;11,2;14,21;19,47;17,54;19,2;34,99;13,77;18,74;39,22;35,56;38,12;37,63;23,9;18,36;21,89;21,38;6,44;11;3,37;no;0;2;2
buscar;;;6;1;21/7/2023;25/7/2023;31,5112;64,05;32,7;36,3;4;6;Muy Buena;8;si;no;11,72;11,83;14,9;12,82;7,74;8,01;10,06;8,60;5,92;6,03;6,79;6,25;33,77;32,17;36,33;10,87;11,41;15,48;16,27;16,83;20,79;34,09;12,59;17,96;35,48;34,14;39,5;36,37;17,84;19,53;23,08;20,15;5,11;11;3,61;si;1;2;2
buscar;;;6;3;21/7/2023;25/7/2023;42,7857;74,83;35,47;38,46;4;6;Muy Buena;5;si;no;12,91;15,83;13,82;14,19;8,63;10,66;9,15;9,48;6,73;6,81;6,32;6,62;34,56;37,67;36,48;11,01;17,28;14,23;18,08;21,87;19,09;36,23;14,17;19,68;36,27;41,44;39,16;38,95;17,68;24,64;21,31;21,21;5,49;10;3,34;si;1;2;2
buscar;;;6;2;21/7/2023;25/7/2023;33,726;63,33;33,92;34,29;4;6;Muy Buena;8;si;no;13,34;11,68;10,31;11,78;8,75;7,73;6,93;7,80;6,02;5,97;5,95;5,98;36,53;33,57;30,52;14,01;10,64;7,76;18,31;16,25;14,54;33,54;10,8;16,37;39,13;35,21;31,49;35,28;20,98;17,59;14,27;17,61;6,07;10,2;3,53;si;2;2;2
piso 726;;;7;4;21/7/2023;25/7/2023;20,4817;53,36;29,29;30,96;2;6;Regular;4;si;si;8,53;8,9;8,28;8,57;6,47;6,47;6,18;6,37;5,61;5,33;5,32;5,42;20,30;23,47;21,01;7,28;8,39;7,27;13,51;13,51;12,84;21,59;7,65;13,28;21,57;24,92;22,23;22,91;19,74;19,66;19,1;19,5;5,05;10,3;3,68;si;4;2;2
piso 726;;;7;2;21/7/2023;25/7/2023;30,1015;62,76;32,92;35,63;5;5;Buena;4;si;si;12,28;14,57;14,32;13,72;8,39;9,58;9,55;9,17;5,63;5,90;5,59;5,71;32,13;37,99;36,58;14,27;17,2;18,3;17,6;19,9;19,85;35,57;16,59;19,12;35,15;41,71;40,9;39,25;23,94;24,36;26,58;24,96;5,06;9,4;3,84;si;4;2;2
piso 726;;;7;3;21/7/2023;25/7/2023;32,3758;66,59;31,57;38,26;2;5;Regular;4;si;si;15,09;16,61;16,71;16,14;10,01;11,04;11,29;10,78;5,60;6,32;6,30;6,07;37,97;39,67;38,42;19,73;20,19;21,01;20,7;22,54;22,98;38,69;20,31;22,07;42,79;44,51;43,79;43,7;27,46;26,97;28,67;27,7;5,66;9;3,57;si;4;2;2
piso 726;;;7;1;21/7/2023;25/7/2023;30,1207;57,25;33,39;35,16;5;5;Buena;4;si;no;17,19;17,22;13,6;16,00;12,34;12,33;9,61;11,43;7,29;7,47;6,45;7,07;33,72;33,98;31,22;20,57;19,93;15,26;24,75;24,73;19,96;32,98;18,59;23,15;39,5;39,39;34,76;37,88;31,38;30,39;26,05;29,27;5,29;10,9;3,53;si;4;2;2
buscar;;;8;3;21/7/2023;25/7/2023;40,5168;73,88;36,43;40,13;5;6;Buena;8;si;no;14,88;13,79;12,69;13,79;9,88;9,35;8,58;9,27;6,35;6,51;6,40;6,42;37,63;34,63;33,43;16,49;14,2;12,03;20,46;19,47;17,98;35,23;14,24;19,3;41,08;37,43;35,53;38,01;23,67;22,3;19,79;21,92;5,51;10,4;3,42;si;3;2;2
buscar;;;8;1;21/7/2023;25/7/2023;43,3763;73,31;36,75;40,97;4;5;Regular;5;si;si;12,61;16,15;16;14,92;8,67;11,13;10,93;10,24;6,19;6,78;6,63;6,53;32,09;36,13;36,69;13,1;18,8;18,74;18,16;22,7;22,35;34,97;16,88;21,07;34,67;40,73;41,19;38,86;22,21;27,5;27,05;25,59;5,48;11,8;3,29;si;4;2;2
buscar;;;8;2;21/7/2023;25/7/2023;46,0765;72,31;38,28;40,29;2;5;Buena;8;si;no;16,1;14,98;15,07;15,38;11,04;10,36;10,37;10,59;7,15;6,44;6,54;6,71;36,49;34,51;35,02;17,24;17,67;17,34;22,54;21,34;21,35;35,34;17,42;21,74;40,36;38,77;39,08;39,4;25,3;27,12;26,35;26,25;5,59;12;3,33;si;4;2;2
728;;;9;2;21/7/2023;25/7/2023;38,1098;61,58;36,79;38,37;2;5;Buena;8;si;no;19,28;20,49;16,96;18,91;13,22;14,00;11,29;12,84;6,29;6,93;6,06;6,43;39,93;41,5;39,96;26,56;26,39;21,9;26,18;27,4;22,98;40,46;24,95;25,52;47,96;49,18;45,56;47,57;33,63;32,45;28,72;31,6;5,3;10,6;3,21;si;2;2;2
728;;;9;3;21/7/2023;25/7/2023;40,9774;63,05;35,57;38,15;3;5;Regular;4;si;no;13,52;14,29;13,76;13,86;9,37;9,79;9,57;9,58;6,56;6,44;6,41;6,47;32,62;34,45;32,64;14,09;15,88;15,28;19,51;20,3;19,89;33,24;15,08;19,9;35,54;37,93;36,04;36,5;23,35;24,75;25,08;24,39;4,61;12,4;3,43;si;4;2;2
728;;;9;1;21/7/2023;25/7/2023;38,4239;66,63;34,97;43,23;2;5;Regular;4;si;no;16,6;13,65;10,16;13,47;11,14;9,55;7,42;9,37;6,20;6,20;5,67;6,02;38,86;32,05;24,76;20,93;15,98;10,66;22,72;19,85;15,6;31,89;15,86;19,39;44,14;35,82;26,96;35,64;28,31;26,5;23,29;26,03;6,6;11,6;3,54;si;4;2;2
buscar;;;10;4;21/7/2023;25/7/2023;47,2761;66,74;37,65;39,68;3;5;Buena;4;si;no;14,56;15,23;18,43;16,07;10,09;10,50;12,89;11,16;5,98;6,03;6,25;6,09;33,86;35,05;37,27;18,53;19,62;25,8;20,85;21,59;25,65;35,39;21,31;22,69;38,6;40,17;45,33;41,37;28,68;29,23;34,69;30,87;5,56;13;4,02;si;1;2;2
buscar;;;10;3;21/7/2023;25/7/2023;56,3877;71,53;41,46;38,42;2;5;Muy Buena;8;si;no;13,97;10,93;13,33;12,74;9,54;7,49;9,22;8,75;6,02;5,57;5,62;5,74;34,31;30,11;32,54;16,62;11,3;17,1;19,83;15,75;19,22;32,32;15,01;18,27;38,12;32,16;36,76;35,68;25,85;20,58;27,72;24,72;7,06;13;3,38;si;3;2;2
